Number,Id,Name,Title,Fed,Elo,NElo,Born,flag,Games,Club/City,#Trns
866,1506102,"Urkedal, Frode Olav Olsen",GM,Norway,2514,,1993,,,,119
867,4121376,"Koniushkov, Igor",GM,Russia,2514,,1962,i,,,0
868,12801747,"Gavrikov, Viktor",GM,Lithuania,2514,,1957,i,,,20
869,13001850,Aung Naing,,Myanmar,2514,,1972,,,,1
870,14116502,"Sivuk, Vitaly",GM,Ukraine,2514,,1992,,,,164
871,24101940,"Zanan, Evgeny",IM,Israel,2514,,1998,,,,77
872,8000000012,"Harrwitz, Daniel",,Unknown,2514,,0,i,,,0
873,8000002804,"Neill, Benjamin Milnes",,Unknown,2514,,0,i,,,0
874,2801485,"Har-Zvi, Ronen",GM,Israel,2513,,1976,i,,,29
875,11602945,"Kantans, Toms",GM,Latvia,2513,,1994,,,SG Speyer-Schwegenhe,265
876,4128737,"Kunin, Vitaly",GM,Germany,2513,,1983,,,Freibauer Moerlenbac,377
877,14900017,"Ftacnik, Lubomir",GM,Slovakia,2513,,1957,,,Hamburger SK von 183,245
878,633046,"Vernay, Clovis",IM,France,2513,,1989,,,,166
879,200018,"Winants, Luc",GM,Belgium,2513,,1963,,,,143
880,2800705,"Zoler, Dan",GM,Israel,2513,,1974,,,,94
881,4127854,"Gazarian, Aram",GM,Russia,2513,,1983,i,,,7
882,4129954,"Ermakov, Evgeny",IM,Russia,2513,,1965,i,,,2
883,4500024,"Ladva, Ottomar",GM,Estonia,2513,,1997,,,,149
884,8603642,"Tan, Zhongyi",GM,China,2513,,1991,w,,,149
885,13601903,"Dzagnidze, Nana",GM,Georgia,2513,,1987,w,,,167
886,8000001002,"Von Feyerfeil, Emil Ritter",,Unknown,2513,,0,i,,,0
887,2005492,"Yermolinsky, Alex",GM,USA,2512,,1958,,,South Dakota,369
888,1209272,"Murariu, Andrei",GM,Romania,2512,,1986,,,Cs Aem Luxten Timiso,118
889,14104490,"Firman, Nazar",GM,Ukraine,2512,,1983,,,Schachfreunde Essen-,149
890,827061,"Stella, Andrea",GM,Italy,2512,,1993,,,,145
891,1506536,"Notkevich, Benjamin Arvola",GM,Norway,2512,,1993,,,,98
892,4123700,"Moiseenko, Vadim",GM,Russia,2512,,1994,,,,98
893,4142586,"Chebotarev, Oleg",,Russia,2512,,1985,,,,49
894,4182596,"Levin, Evgeny A",GM,Russia,2512,,1990,,,,127
895,8604940,"Xu, Yinglun",GM,China,2512,,1996,,,,55
896,2300010,"Olafsson, Helgi",GM,Iceland,2511,,1956,,,,75
897,927031,"Popovic, Dusan",GM,Serbia,2511,,1983,,,SV Deggendorf,155
898,4600045,"Bischoff, Klaus",GM,Germany,2511,,1961,,,FC Bayern Muenchen e,118
899,1634852,"Dragnev, Valentin",GM,Austria,2511,,1999,,,Sk Wien-Ottakring,160
900,4131606,"Zablotsky, Sergei",GM,Russia,2511,,1982,i,,,79
901,5021103,"Grover, Sahaj",GM,India,2511,,1995,,,,193
902,6300545,"Sanal, Vahap",GM,Turkey,2511,,1998,,,19838276600,137
903,12513342,"Gholami, Aryan",IM,Iran,2511,,2001,,,Mazandaran,180
904,14108640,"Mirzoev, Emil",IM,Ukraine,2511,,1996,,,,101
905,8000000388,"Chigorin, Mikhail Ivanovich",,Unknown,2511,,0,i,,,0
906,8000000521,"Walbrodt, Carl August",,Unknown,2511,,0,i,,,0
907,400181,"Conquest, Stuart C",GM,England,2510,,1967,i,,4NCL Guildford,129
908,700118,"Horvath, Csaba",GM,Hungary,2510,,1968,,,SF Schwerin,239
909,1706446,"Tikkanen, Hans",GM,Sweden,2510,,1985,,,Schachclub Hansa Dor,219
910,937614,"Roganovic, Milos",GM,Serbia,2510,,1991,,,SK Passau 1869,77
911,4100972,"Ikonnikov, Vyacheslav",GM,Russia,2510,,1966,,,SF Bad Mergentheim,332
912,642274,"Demuth, Adrien",GM,France,2510,,1991,,,SF Deizisau,231
913,2115824,"Barbosa, Evandro Amorim",GM,Brazil,2510,,1992,,,,158
914,208027,"Ringoir, Tanguy",GM,Belgium,2510,,1994,,,,149
915,406465,"Gormally, Daniel W",GM,England,2510,,1976,,,4NCL Cheddleton,134
916,2800047,"Rechlis, Gad",GM,Israel,2510,,1967,,,,25
917,11600462,"Krakops, Maris",GM,Latvia,2510,,1978,i,,,9
918,14122480,"Vetoshko, Volodymyr",GM,Ukraine,2510,,1998,,,,87
919,54178894,"Vegera, Vladimir",,Russia,2510,,1955,i,,,1
920,13300512,"Khachiyan, Melikset",GM,USA,2509,,1970,,,California,394
921,2600013,"Spraggett, Kevin",GM,Canada,2509,,1954,,,B2447,197
922,916366,"Stojanovic, Mihajlo",GM,Serbia,2509,,1977,,,BG Buchen,280
923,4601556,"Heinemann, Thies",GM,Germany,2509,,1971,,,Hamburger SK von 183,70
924,12940690,"Keymer, Vincent",IM,Germany,2509,,2004,,,SF Deizisau,78
925,1204580,"Nanu, Costica-Ciprian",GM,Romania,2509,,1977,,,Cs Dinamo Bucuresti,168
926,1206370,"Mateuta, Gabriel",IM,Romania,2509,,1980,,,Cotnari-Politehnica,76
927,1132199,"Krzyzanowski, Marcin",IM,Poland,2509,,1994,,,"MKS ""Polonia"" Warsza",137
928,2811154,"Raznikov, Danny",GM,Israel,2509,,1993,,,,130
929,4101375,"Ivanov, Sergey",GM,Russia,2509,,1961,,,,60
930,4156021,"Iljin, Artem",GM,Russia,2509,,1987,,,,75
931,14100053,"Eingorn, Vereslav S",GM,Ukraine,2509,,1956,,,,60
932,25012223,Visakh N R,IM,India,2509,,1999,,,,164
933,2009161,"Sokolin, Leonid",IM,USA,2508,,1966,i,,New Jersey,59
934,14104202,"Malakhatko, Vadim",GM,Belgium,2508,,1977,,,Schachverein Muelhei,405
935,1900072,"Galego, Luis",GM,Portugal,2508,,1966,,,Acr Vale Cambra/Osca,208
936,3202305,"Smerdon, David C",GM,Australia,2508,,1984,i,,,127
937,4600924,"Appel, Ralf",GM,Germany,2508,,1971,i,,SC Pirmasens 1912,54
938,2214679,"Fernandez Romero, Ernesto",GM,Spain,2508,,1983,,,,121
939,1019716,"Admiraal, Miguoel",IM,Netherlands,2508,,1994,,,Sportfreunde Katernb,89
940,121576,"Sosa, Tomas",IM,Argentina,2508,,1998,,,,80
941,2105446,"Di Berardino, Diego Rafael",IM,Brazil,2508,,1987,,,,104
942,5019141,"Shyam, Sundar M",GM,India,2508,,1992,,,Madurai,178
943,8602298,"Lin, Chen",GM,China,2508,,1988,,,,59
