Number,Id,Name,Title,Fed,Elo,NElo,Born,flag,Games,Club/City,#Trns
98,618438,"Tkachiev, Vladislav",GM,France,2660,,1973,i,,Schachgemeinschaft P,122
99,703303,"Leko, Peter",GM,Hungary,2660,,1979,,,,99
100,11000000006,"Botvinnik, Mikhail Moiseyevich",GM,Soviet Union,2660,,1911,i,,,0
101,14117908,"Kovalenko, Igor",GM,Latvia,2658,,1988,,,SC Viernheim 1934 e.,221
102,633429,"Edouard, Romain",GM,France,2658,,1990,,,SAbt SV Werder Breme,330
103,1020854,"Van Kampen, Robin",GM,Netherlands,2658,,1994,,,Schachgesellschaft S,230
104,600016,"Lautier, Joel",GM,France,2658,,1973,i,,,60
105,4199758,"Bukavshin, Ivan",GM,Russia,2658,,1995,i,,,153
106,1204297,"Parligras, Mircea Emilian",GM,Romania,2657,,1980,,,DJK Aufwaerts St. Jo,224
107,12573981,"Firouzja, Alireza",GM,Iran,2657,,2003,,,Muenchener SC 1836 e,67
108,11600098,"Rausis, Igors",GM,Czech Republic,2657,,1961,,,SC Emmendingen 1937,342
109,4116992,"Morozevich, Alexander",GM,Russia,2656,,1977,,,,131
110,1126881,"Swiercz, Dariusz",GM,USA,2655,,1994,,,DJK Aufwaerts St. Jo,234
111,2805677,"Gelfand, Boris",GM,Israel,2655,,1968,,,,154
112,603767,"Bauer, Christian",GM,France,2654,,1977,,,SC Emmendingen 1937,263
113,4115309,"Rublevsky, Sergei",GM,Russia,2652,,1974,,,Sfr. Bad Emstal/Wolf,114
114,608742,"Fressinet, Laurent",GM,France,2652,,1981,,,SAbt SV Werder Breme,266
115,13300032,"Akopian, Vladimir",GM,Armenia,2650,,1971,,,,123
116,1503707,"Hammer, Jon Ludvig",GM,Norway,2650,,1990,,,,211
117,4121830,"Motylev, Alexander",GM,Russia,2650,,1979,,,Schachverein Muelhei,215
118,14116731,"Ipatov, Alexander",GM,Turkey,2650,,1993,,,Schachklub Turm Emsd,206
119,4125029,"Riazantsev, Alexander",GM,Russia,2649,,1985,,,,170
120,4142527,"Kurnosov, Igor",GM,Russia,2649,,1985,i,,,142
121,14102560,"Moiseenko, Alexander",GM,Ukraine,2648,,1980,,,,212
122,14101025,"Onischuk, Alexander",GM,USA,2647,,1975,,,Texas,215
123,12401110,"Nguyen, Ngoc Truong Son",GM,Vietnam,2647,,1990,,,,132
124,1007998,"L'ami, Erwin",GM,Netherlands,2645,,1985,,,Schachgesellschaft S,301
125,11000000009,"Petrosyan, Tigran",GM,Soviet Union,2645,,1929,i,,,0
126,14112906,"Kuzubov, Yuriy",GM,Ukraine,2644,,1990,,,,177
127,3800024,"Granda Zuniga, Julio Ernesto",GM,Peru,2644,,1967,,,DJK Aufwaerts St. Jo,199
128,4100069,"Salov, Valery",GM,Russia,2644,,1964,i,,,1
129,4157800,"Ponkratov, Pavel",GM,Russia,2644,,1988,,,Sfr. Bad Emstal/Wolf,184
130,4135539,"Alekseenko, Kirill",GM,Russia,2644,,1997,,,Wiesbadener SV 1885,144
131,14603853,"Lenic, Luka",GM,Slovenia,2643,,1988,,,SV Hockenheim,236
132,2285525,"Anton Guijarro, David",GM,Spain,2643,,1995,,,,189
133,4100140,"Bareev, Evgeny",GM,Canada,2642,,1966,,,,66
134,4113403,"Zvjaginsev, Vadim",GM,Russia,2642,,1976,,,,131
135,2040506,"Sevian, Samuel",GM,USA,2642,,2000,,,California,244
136,8000000485,"Lasker, Emanuel",GM,Germany,2642,,1868,i,,,0
137,4138147,"Alekseev, Evgeny",GM,Russia,2640,,1985,,,Duesseldorfer Schach,231
138,4201345,"Papaioannou, Ioannis",GM,Greece,2640,,1976,,,,90
139,5016690,"Negi, Parimarjan",GM,India,2639,,1993,,,Sportfreunde Katernb,232
140,4625498,"Gustafsson, Jan",GM,Germany,2639,,1979,,,OSG Baden-Baden,243
141,3901211,"Iturrizaga Bonelli, Eduardo",GM,Venezuela,2639,,1989,,,Venezuela,185
142,14118084,"Nyzhnyk, Illya",GM,Ukraine,2638,,1996,,,Schachgemeinschaft P,164
143,1017063,"Bok, Benjamin",GM,Netherlands,2638,,1995,,,Schachgesellschaft S,236
144,14107201,"Efimenko, Zahar",GM,Ukraine,2638,,1985,,,SAbt SV Werder Breme,233
145,2802007,"Sutovsky, Emil",GM,Israel,2638,,1977,,,,163
146,2021285,"Lenderman, Aleksandr",GM,USA,2637,,1989,,,New York,1035
147,5021596,"Sethuraman, S P",GM,India,2637,,1993,,,PSPB,201
148,13601326,"Azmaiparashvili, Zurab",GM,Georgia,2637,,1960,i,,,44
149,8600694,"Zhang, Zhong",GM,China,2636,,1978,i,,,103
150,6302718,"Yilmaz, Mustafa",GM,Turkey,2636,,1992,,,Schachklub Turm Emsd,169
151,400025,"Short, Nigel D",GM,England,2636,,1965,,,4NCL Guildford,136
152,14107090,"Volokitin, Andrei",GM,Ukraine,2635,,1986,,,SV 1920 Hofheim,193
153,1124668,"Tomczak, Jacek",GM,Poland,2635,,1990,,,Schachfreunde Berlin,184
154,1400355,"Nielsen, Peter Heine",GM,Denmark,2635,,1973,i,,SF Deizisau,149
155,4150120,"Lysyj, Igor",GM,Russia,2635,,1987,,,,163
156,13302507,"Hovhannisyan, Robert",GM,Armenia,2634,,1991,,,,118
157,8000000023,"Morphy, Paul Charles",,Unknown,2634,,0,i,,,0
158,11600454,"Fridman, Daniel",GM,Germany,2633,,1976,,,Schachverein Muelhei,332
159,5002150,"Ganguly, Surya Shekhar",GM,India,2633,,1983,,,,185
160,616915,"Gozzoli, Yannick",GM,France,2633,,1983,,,OSG Baden-Baden,145
161,4157770,"Afromeev, Vladimir",FM,Russia,2633,,1954,i,,,20
162,14113147,"Kravtsiv, Martyn",GM,Ukraine,2632,,1990,,,Hamburger SK von 183,214
163,662399,"Lagarde, Maxime",GM,France,2631,,1994,,,SF Deizisau,174
164,1130420,"Piorun, Kacper",GM,Poland,2631,,1991,,,Schachfreunde Berlin,161
165,3700488,"Bachmann, Axel",GM,Paraguay,2631,,1989,,,,191
166,712779,"Gledura, Benjamin",GM,Hungary,2630,,1999,,,OSG Baden-Baden,144
167,8603154,"Ma, Qun",GM,China,2630,,1991,,,,82
168,13700464,"Sadvakasov, Darmen",GM,Kazakhstan,2629,,1979,i,,,103
169,4173708,"Rakhmanov, Aleksandr",GM,Russia,2629,,1989,,,,180
170,14116804,"Zherebukh, Yaroslav",GM,USA,2629,,1993,,,Hamburger SK von 183,143
171,8000000044,"Winawer, Szymon Abramowicz",,Unknown,2629,,0,i,,,0
172,4119150,"Kobalia, Mikhail",GM,Russia,2627,,1978,,,Wiesbadener SV 1885,127
173,310204,"Movsesian, Sergei",GM,Armenia,2627,,1978,,,OSG Baden-Baden,264
174,13402960,"Abasov, Nijat",GM,Azerbaijan,2627,,1995,,,,101
175,8602522,"Zhao, Jun",GM,China,2627,,1986,,,,140
176,4194985,"Paravyan, David",GM,Russia,2627,,1998,,,,124
177,3504409,"Quesada Perez, Yuniesky",GM,Cuba,2626,,1984,,,,171
178,14114038,"Onischuk, Vladimir",GM,Ukraine,2626,,1991,,,,148
179,13300580,"Akobian, Varuzhan",GM,USA,2625,,1983,,,Kansas,158
180,4129199,"Grachev, Boris",GM,Russia,2625,,1986,,,Schachverein Muelhei,250
181,8603332,"Lu, Shanglei",GM,China,2625,,1995,,,,134
182,24133795,"Sarana, Alexey",GM,Russia,2625,,2000,,,,131
183,1000055,"Piket, Jeroen",GM,Netherlands,2624,,1969,i,,,17
184,14700077,"Amonatov, Farrukh",GM,Tajikistan,2624,,1978,,,,148
185,8000000513,"Makovets, Gyula",,Unknown,2624,,0,i,,,0
186,930849,"Predojevic, Borki",GM,Bosnia & Herz.,2623,,1987,,,,158
187,4100026,"Karpov, Anatoly",GM,Russia,2622,,1951,,,SV Hockenheim,39
188,2257327,"Salgado Lopez, Ivan",GM,Spain,2622,,1991,,,SG Turm Kiel von 191,202
189,13601520,"Jobava, Baadur",GM,Georgia,2622,,1983,,,SV Hockenheim,157
190,13402935,"Durarbayli, Vasif",GM,Azerbaijan,2622,,1992,,,,135
191,4675789,"Meier, Georg",GM,Germany,2621,,1987,,,SF Deizisau,226
192,1039784,"Van Foreest, Jorden",GM,Netherlands,2621,,1999,,,DJK Aufwaerts St. Jo,185
193,4142578,"Khismatullin, Denis",GM,Russia,2621,,1984,,,,214
194,2000032,"Seirawan, Yasser",GM,USA,2620,,1960,i,,Washington,67
195,1107038,"Socko, Bartosz",GM,Poland,2620,,1978,,,FC ST.Pauli 1910 eV,315
196,4101685,"Landa, Konstantin",GM,Russia,2620,,1972,,,Schachverein Muelhei,244
197,114987,"Kovalyov, Anton",GM,Canada,2620,,1992,,,----,124
198,911925,"Indjic, Aleksandar",GM,Serbia,2620,,1995,,,,116
199,13303732,"Gabuzyan, Hovhannes",GM,Armenia,2620,,1995,,,,126
200,8000000043,"De Vere, Cecil Valentine",,Unknown,2620,,0,i,,,0
201,2804344,"Postny, Evgeny",GM,Israel,2619,,1981,,,BCA Augsburg,329
202,14502879,"Kozul, Zdenko",GM,Croatia,2619,,1966,,,SF Deizisau,216
203,8000000315,"Potter, William Norwood",,Unknown,2619,,0,i,,,0
204,2801990,"Smirin, Ilia",GM,Israel,2618,,1968,,,,170
205,4151348,"Khairullin, Ildar",GM,Russia,2618,,1990,i,,,170
206,2101246,"Leitao, Rafael",GM,Brazil,2617,,1979,,,,121
207,4100115,"Khalifman, Alexander",GM,Russia,2617,,1966,,,,96
208,912417,"Ivanisevic, Ivan",GM,Serbia,2616,,1977,,,,243
209,13301578,"Pashikian, Arman",GM,Armenia,2616,,1987,,,,114
210,1113100,"Krasenkow, Michal",GM,Poland,2616,,1963,,,SF Deizisau,202
211,24651516,"Bluebaum, Matthias",GM,Germany,2616,,1997,,,SF Deizisau,229
212,813192,"Vocaturo, Daniele",GM,Italy,2616,,1989,,,,172
213,13306553,"Martirosyan, Haik M",GM,Armenia,2616,,2000,,,,67
214,14107180,"Drozdovskij, Yuri",GM,Ukraine,2616,,1984,i,,DJK Aachen,83
215,14114470,"Vovk, Andriy",GM,Ukraine,2616,,1991,,,,127
216,3801497,"Cordova, Emilio",GM,Peru,2615,,1991,,,,185
217,8603537,"Zhou, Jianchao",GM,China,2615,,1988,,,,177
218,13400819,"Mamedov, Nidjat",GM,Azerbaijan,2615,,1985,,,,115
219,718939,"Balogh, Csaba",GM,Hungary,2614,,1987,,,SV Hockenheim,253
220,715620,"Chernin, Alexander",GM,Hungary,2614,,1960,i,,MERKUR GRAZ,48
221,14102196,"Baklan, Vladimir",GM,Ukraine,2614,,1978,,,SC Emmendingen 1937,276
222,14507927,"Bosiocic, Marin",GM,Croatia,2614,,1988,,,TSV Schoenaich,253
223,722413,"Banusz, Tamas",GM,Hungary,2614,,1989,,,SV Hockenheim,237
224,24131920,"Eliseev, Urii",GM,Russia,2614,,1996,i,,,97
225,1510045,"Tari, Aryan",GM,Norway,2613,,1999,,,,193
226,4108116,"Chigaev, Maksim",GM,Russia,2613,,1996,,,,151
227,4198603,"Shimanov, Aleksandr",GM,Russia,2613,,1992,,,,179
228,14113007,"Kononenko, Dmitry",GM,Ukraine,2613,,1988,i,,,91
229,24125890,"Oparin, Grigoriy",GM,Russia,2613,,1997,,,,159
230,1116207,"Gajewski, Grzegorz",GM,Poland,2612,,1985,,,USV TU Dresden,201
231,719978,"Erdos, Viktor",GM,Hungary,2612,,1987,,,MTV Tostedt,233
232,4148843,"Romanov, Evgeny",GM,Russia,2612,,1988,,,Erfurter Schachklub,241
233,1000268,"Van Wely, Loek",GM,Netherlands,2612,,1972,,,Schachgesellschaft S,314
234,2606771,"Hansen, Eric",GM,Canada,2612,,1992,,,Schachverein Wattens,165
235,1207822,"Lupulescu, Constantin",GM,Romania,2611,,1984,,,DJK Aufwaerts St. Jo,253
236,2200015,"Illescas Cordoba, Miguel",GM,Spain,2611,,1965,,,Barcelona,81
237,4120426,"Galkin, Alexander",GM,Russia,2611,,1979,i,,,76
238,10601619,"Adly, Ahmed",GM,Egypt,2611,,1987,,,,210
239,13602071,"Pantsulaia, Levan",GM,Georgia,2611,,1986,,,,191
240,14109158,"Pilavov, Georgy",GM,Ukraine,2611,,1974,,,,122
241,24107581,"Predke, Alexandr",GM,Russia,2611,,1994,,,,123
242,4657101,"Svane, Rasmus",GM,Germany,2610,,1997,,,Hamburger SK von 183,238
243,1003720,"Van Den Doel, Erik",GM,Netherlands,2610,,1979,,,Schachgemeinschaft P,223
244,13600966,"Mchedlishvili, Mikheil",GM,Georgia,2610,,1979,,,Schachklub Turm Emsd,222
245,4676670,"Bindrich, Falko",GM,Germany,2610,,1990,,,DJK Aufwaerts St. Jo,278
246,2026961,"Naroditsky, Daniel",GM,USA,2610,,1995,,,,106
247,3503631,"Delgado Ramirez, Neuris",GM,Paraguay,2610,,1981,,,,181
248,24109959,"Goganov, Aleksey",GM,Russia,2610,,1991,,,,167
249,14102536,"Fedorchuk, Sergey A",GM,Ukraine,2609,,1981,,,SC Viernheim 1934 e.,380
250,24624632,"Heimann, Andreas",GM,Germany,2609,,1992,,,SF Deizisau,242
251,1226380,"Deac, Bogdan-Daniel",GM,Romania,2609,,2001,,,Sah Club Ramnicu Val,133
252,400076,"Hodgson, Julian M",GM,England,2609,,1963,i,,,8
253,13702661,"Jumabayev, Rinat",GM,Kazakhstan,2609,,1989,,,,164
254,2100789,"Vescovi, Giovanni",GM,Brazil,2606,,1978,i,,,85
255,2210622,"Perez Candelario, Manuel",GM,Spain,2606,,1983,,,,128
256,8000000042,"Neumann, Gustav Richard Ludwig",,Unknown,2606,,0,i,,,0
257,1008013,"Tiviakov, Sergei",GM,Netherlands,2605,,1973,,,SC Eppingen,344
258,14109409,"Zubov, Alexander",GM,Ukraine,2605,,1983,,,Sfr. Bad Emstal/Wolf,128
259,922900,"Sedlak, Nikola",GM,Serbia,2605,,1983,,,SV Deggendorf,265
260,716855,"Hera, Imre",GM,Hungary,2605,,1986,,,SC Emmendingen 1937,213
261,1006673,"Stellwagen, Daniel",GM,Netherlands,2605,,1987,i,,Schachgesellschaft S,125
262,4132181,"Kokarev, Dmitry",GM,Russia,2605,,1982,,,,142
263,12510130,"Idani, Pouya",GM,Iran,2604,,1995,,,Wiesbadener SV 1885,114
264,13502956,"Zhigalko, Sergei",GM,Belarus,2604,,1989,,,,181
265,13601733,"Izoria, Zviad",GM,USA,2603,,1984,,,New York,304
266,14101866,"Ovsejevitsch, Sergei",GM,Ukraine,2603,,1974,,,SK Gau-Algesheim,209
267,14120828,"Bortnyk, Olexandr",GM,Ukraine,2603,,1996,,,,148
268,24112798,"Gordievsky, Dmitry",GM,Russia,2603,,1996,,,,156
269,24175439,"Esipenko, Andrey",GM,Russia,2603,,2002,,,,82
270,8600040,"Ye, Jiangchuan",GM,China,2602,,1960,i,,,26
271,5010608,"Gupta, Abhijeet",GM,India,2602,,1989,,,,216
272,13301527,"Gharamian, Tigran",GM,France,2602,,1984,,,SK Schwaebisch Hall,204
273,2804158,"Roiz, Michael",GM,Israel,2602,,1983,,,,171
274,13900200,"Iordachescu, Viorel",GM,Moldova,2602,,1977,,,,193
275,1700022,"Hellers, Ferdinand",GM,Sweden,2601,,1969,,,,8
276,4692055,"Bogner, Sebastian",GM,Switzerland,2601,,1991,,,SC Dreilaendereck,309
277,4663527,"Braun, Arik",GM,Germany,2601,,1988,,,SV Hockenheim,197
278,642908,"Moussard, Jules",GM,France,2601,,1995,,,DJK Aufwaerts St. Jo,167
279,916811,"Solak, Dragan",GM,Turkey,2601,,1980,,,,186
280,4202031,"Banikas, Hristos",GM,Greece,2601,,1978,,,,143
281,13700014,"Vladimirov, Yevgeniy",GM,Kazakhstan,2601,,1957,i,,,34
282,921629,"Perunovic, Milos",GM,Serbia,2600,,1984,,,,209
283,921637,"Markus, Robert",GM,Serbia,2600,,1983,,,Schachclub Hansa Dor,235
284,1112635,"Bartel, Mateusz",GM,Poland,2600,,1985,,,USV TU Dresden,273
285,12521213,"Tabatabaei, Seyed Mohammad Amin",GM,Iran,2600,,2001,,,Muenchener SC 1836 e,171
286,13302000,"Andriasian, Zaven",GM,Armenia,2600,,1989,,,,165
287,2801906,"Alterman, Boris",GM,Israel,2599,,1970,,,,28
288,1413864,"Andersen, Mads",GM,Denmark,2599,,1995,,,Schachgesellschaft S,187
289,718602,"Papp, Gabor",GM,Hungary,2599,,1987,,,ESV Nickelhuette Aue,175
290,5072786,"Aravindh, Chithambaram Vr",GM,India,2599,,1999,,,,176
291,8602956,"Wen, Yang",GM,China,2599,,1988,,,,131
292,8000000450,"Von Bardeleben, Curt",,Unknown,2599,,0,i,,,0
293,1304364,"Milov, Vadim",GM,Switzerland,2598,,1972,,,,160
294,4132394,"Belov, Vladimir",GM,Russia,2598,,1984,i,,,92
295,15001334,"Najdoski, Toni",GM,FYR Macedonia,2598,,1970,i,,,1
296,726265,"Prohaszka, Peter",GM,Hungary,2597,,1992,,,ESV Nickelhuette Aue,211
297,14102595,"Miroshnichenko, Evgenij",GM,Ukraine,2597,,1978,,,SV Hockenheim,183
298,4131061,"Potkin, Vladimir",GM,Russia,2597,,1982,,,Schachverein Muelhei,191
299,1400010,"Hansen, Curt",GM,Denmark,2596,,1964,i,,,32
300,108049,"Flores, Diego",GM,Argentina,2596,,1982,,,,183
301,13301616,"Petrosian, Tigran L",GM,Armenia,2595,,1984,,,,173
302,4667719,"Baramidze, David",GM,Germany,2595,,1988,,,SV Hockenheim,287
303,2900017,"Georgiev, Kiril",GM,FYR Macedonia,2595,,1965,,,SK Oetigheim,242
304,1122401,"Moranda, Wojciech",GM,Poland,2595,,1988,,,Schachfreunde Berlin,136
305,4623606,"Dautov, Rustem",GM,Germany,2595,,1965,,,SF Deizisau,88
306,1100025,"Wojtkiewicz, Aleksander",GM,Poland,2595,,0,i,,,132
307,24604747,"Huschenbeth, Niclas",GM,Germany,2594,,1992,,,Hamburger SK von 183,246
308,4107012,"Antipov, Mikhail Al",GM,Russia,2594,,1997,,,,143
309,14400030,"Sokolov, Ivan",GM,Netherlands,2593,,1968,,,SV Hockenheim,248
310,24603295,"Donchenko, Alexander",GM,Germany,2593,,1998,,,SF Deizisau,296
311,1007246,"Smeets, Jan",GM,Netherlands,2593,,1985,,,Schachgesellschaft S,211
312,8602280,"Bai, Jinshi",GM,China,2593,,1999,,,,76
313,4127870,"Pridorozhni, Aleksei",GM,Russia,2593,,1981,,,,138
314,4140419,"Timofeev, Artyom",GM,Russia,2593,,1985,,,,165
315,5058422,Narayanan S L,GM,India,2593,,1998,,,,120
316,8000000037,"Kolisch, Ignatz",,Unknown,2593,,0,i,,,0
317,1110381,"Mista, Aleksander",GM,Poland,2592,,1983,,,Schachfreunde Berlin,187
318,304760,"Stocek, Jiri",GM,Czech Republic,2592,,1977,,,SC Garching 1980 e.V,200
319,14200988,"Filippov, Anton",GM,Uzbekistan,2592,,1986,i,,,119
320,13600613,"Kacheishvili, Giorgi",GM,Georgia,2591,,1977,i,,,331
321,8600511,"Peng, Xiaomin",GM,China,2591,,1973,i,,,23
322,4101286,"Petrov, Nikita",GM,Russia,2591,,1996,,,,62
323,4167392,"Chadaev, Nikolai",GM,Russia,2591,,1988,i,,,109
324,1111914,"Miton, Kamil",GM,Poland,2590,,1984,,,,276
325,3507416,"Bacallao Alonso, Yusnel",GM,Cuba,2590,,1988,,,CUBA,123
326,4152417,"Oleksiyenko, Mykhaylo",GM,Ukraine,2590,,1986,,,SG Speyer-Schwegenhe,144
327,2603608,"Bluvshtein, Mark",GM,Canada,2590,,1988,i,,,77
328,2056437,"Liang, Awonder",GM,USA,2590,,2003,,,Wisconsin,240
329,4153278,"Kryakvin, Dmitry",GM,Russia,2590,,1984,,,,154
330,13302531,"Ter-Sahakyan, Samvel",GM,Armenia,2590,,1993,,,,115
331,2803895,"Avrukh, Boris",GM,Israel,2589,,1978,i,,SK Schwaebisch Hall,161
332,4115341,"Tregubov, Pavel V",GM,Russia,2589,,1971,,,Schachverein Muelhei,213
333,14502569,"Stevic, Hrvoje",GM,Croatia,2589,,1980,,,SK Kirchweyhe 1947,238
334,5015693,Gopal G N,GM,India,2589,,1989,,,,163
335,5045185,"Vaibhav, Suri",GM,India,2589,,1997,,,,113
336,14117207,"Baryshpolets, Andrey",GM,Ukraine,2589,,1991,,,,125
337,14105500,"Sumets, Andrey",GM,Ukraine,2588,,1980,,,SF Lilienthal von 19,242
338,8601674,"Zhou, Weiqi",GM,China,2588,,1986,,,,143
339,13700316,"Kazhgaleyev, Murtas",GM,Kazakhstan,2587,,1973,,,,141
340,4202694,"Mastrovasilis, Dimitrios",GM,Greece,2587,,1983,,,Schachklub Koenig Pl,204
341,708020,"Acs, Peter",GM,Hungary,2587,,1981,,,SC Eppingen,126
342,1400266,"Hansen, Sune Berg",GM,Denmark,2587,,1971,,,Hamburger SK von 183,136
343,4627253,"Doettling, Fabian",GM,Germany,2587,,1980,i,,OSG Baden-Baden,145
344,3518736,"Albornoz Cabrera, Carlos Daniel",IM,Cuba,2587,,2000,,,,42
345,2000628,"Gurevich, Ilya",GM,USA,2586,,1972,i,,New York,29
346,4671910,"Kraemer, Martin",GM,Germany,2586,,1987,,,Schachfreunde Berlin,138
347,4146786,"Maletin, Pavel",GM,Russia,2586,,1986,,,Sfr. Bad Emstal/Wolf,198
348,5024595,Lalith Babu M R,GM,India,2586,,1993,,,,167
349,6302181,"Can, Emre",GM,Turkey,2586,,1990,,,ANKARA,145
350,13501470,"Azarov, Sergei",GM,Belarus,2585,,1983,,,,163
351,1001302,"Reinderman, Dimitri",GM,Netherlands,2585,,1972,,,Schachgemeinschaft P,183
352,1134167,"Dragun, Kamil",GM,Poland,2585,,1995,,,Schachverein Wattens,199
353,4104226,"Sakaev, Konstantin",GM,Russia,2584,,1974,,,SG Kaiserslautern 19,107
354,2905710,"Nikolov, Momchil",GM,Bulgaria,2584,,1985,,,,195
355,9000011,"Hamdouchi, Hicham",GM,Morocco,2584,,1972,,,Marruecos,186
356,110973,"Pichot, Alan",GM,Argentina,2584,,1998,,,FMDA,206
357,4120086,"Turov, Maxim",GM,Russia,2584,,1979,,,,181
358,13600044,"Giorgadze, Giorgi",GM,Georgia,2584,,1964,i,,,18
359,14603152,"Borisek, Jure",GM,Slovenia,2584,,1986,,,Slowenien,102
360,8000000543,"Maroczy, Geza",,Unknown,2584,,0,i,,,0
361,8600783,"Yin, Hao",IM,China,2583,,1979,i,,Zugzwang Klagenfurt,6
362,5074452,"Karthikeyan, Murali",GM,India,2583,,1999,,,,183
363,2293307,"Santos Latasa, Jaime",GM,Spain,2582,,1996,,,CIUDAD NARANCO,97
364,2803828,"Huzman, Alexander",GM,Israel,2582,,1962,,,,78
365,24131423,"Yuffa, Daniil",GM,Russia,2582,,1997,,,,111
366,8000000490,"Bauer, Johann Hermann",,Unknown,2582,,0,i,,,0
367,2022036,"Hess, Robert",GM,USA,2581,,1991,,,New York,573
368,24662259,"Schroeder, Jan-Christian",GM,Germany,2581,,1998,,,SV 1920 Hofheim,246
369,1705024,"Agrest, Evgenij",GM,Sweden,2581,,1966,,,Sollentuna SK (SWE),108
370,922277,"Vuckovic, Bojan",GM,Serbia,2581,,1980,,,,93
371,1010891,"Spoelman, Wouter",GM,Netherlands,2581,,1990,,,SAbt SV Werder Breme,170
372,4170350,"Popov, Ivan",GM,Russia,2581,,1990,,,,156
373,14100371,"Bernadskiy, Vitaliy",GM,Ukraine,2581,,1994,,,,130
374,634654,"Feller, Sebastien",GM,France,2580,,1991,,,,148
375,24650684,"Wagner, Dennis",GM,Germany,2580,,1997,,,SV Hockenheim,224
376,4100476,"Dokhoian, Yury",GM,Russia,2580,,1964,i,,,0
377,8603006,"Ju, Wenjun",GM,China,2580,,1991,w,,,170
378,13602543,"Jojua, Davit",GM,Georgia,2580,,1989,,,,105
379,14100061,"Lerner, Konstantin Z",GM,Ukraine,2580,,0,i,,,57
380,14113171,"Vovk, Yuri",GM,Ukraine,2579,,1988,,,,163
381,8000000028,"Paulsen, Louis",,Unknown,2579,,0,i,,,0
382,13601652,"Gagunashvili, Merab",GM,Georgia,2578,,1985,,,,213
383,14103222,"Goloshchapov, Alexander",GM,Ukraine,2578,,1978,i,,SV Koblenz 03/25,103
384,300071,"Hracek, Zbynek",GM,Czech Republic,2578,,1970,,,SAbt SV Werder Breme,237
385,613762,"Maze, Sebastien",GM,France,2578,,1984,,,SC Viernheim 1934 e.,296
386,2212943,"Lopez Martinez, Josep Manuel",GM,Spain,2578,,1980,,,,171
387,14100142,"Kruppa, Yuri",GM,Ukraine,2578,,1964,,,,62
388,25092340,Nihal Sarin,GM,India,2578,,2004,,,,47
389,700088,"Polgar, Susan",GM,USA,2577,,1969,wi,,,2
390,2805642,"Erenburg, Sergey",GM,USA,2576,,1983,,,Virginia,166
391,728446,"Balog, Imre",GM,Hungary,2576,,1991,,,SV Koblenz 03/25,145
392,1500015,"Agdestein, Simen",GM,Norway,2576,,1967,,,,95
393,2100010,"Mecking, Henrique",GM,Brazil,2576,,1952,i,,,36
394,8608288,"Xu, Xiangyu",GM,China,2576,,1999,,,,47
395,2302241,"Gretarsson, Hjorvar Steinn",GM,Iceland,2576,,1993,,,Hellir,171
396,13602934,"Paichadze, Luka",GM,Georgia,2576,,1991,,,,123
397,2801914,"Mikhalevski, Victor",GM,Israel,2575,,1972,,,Israel,258
398,4147332,"Savchenko, Boris",GM,Russia,2575,,1986,,,Sfr. Bad Emstal/Wolf,219
399,4600010,"Huebner, Robert",GM,Germany,2575,,1948,,,Schachclub 1919 Sieg,150
400,2100029,"Milos, Gilberto",GM,Brazil,2575,,1963,i,,,82
401,4122232,"Shaposhnikov, Evgeny",GM,Russia,2575,,1981,,,,118
402,13500139,"Aleksandrov, Aleksej",GM,Belarus,2574,,1973,,,,256
403,2000059,"Christiansen, Larry",GM,USA,2574,,1956,i,,Massachusetts,125
404,13900048,"Bologan, Victor",GM,Moldova,2574,,1971,,,SC Eppingen,210
405,6500617,"Ramirez, Alejandro",GM,USA,2574,,1988,,,Texas,158
406,4123425,"Smirnov, Pavel",GM,Russia,2574,,1982,,,,165
407,8600147,"Xie, Jun",GM,China,2574,,1970,wi,,,8
408,13300024,"Lputian, Smbat G",GM,Armenia,2574,,1958,i,,,36
409,4119142,"Korotylev, Alexey",GM,Russia,2573,,1977,i,,,59
410,24104272,"Rozum, Ivan",GM,Russia,2573,,1991,,,,129
411,105309,"Peralta, Fernando",GM,Argentina,2572,,1979,,,CAT - PEC,197
412,1105663,"Kempinski, Robert",GM,Poland,2572,,1977,,,Hamburger SK von 183,215
413,14400014,"Nikolic, Predrag",GM,Bosnia & Herz.,2572,,1960,,,Schachgesellschaft S,183
414,4680804,"Graf, Alexander",GM,Germany,2572,,1962,,,SF Deizisau,140
415,922412,"Djukic, Nikola",GM,Montenegro,2572,,1983,,,,181
416,4119800,"Dyachkov, Sergej",GM,Russia,2572,,1976,i,,,34
417,4122763,"Volkov, Sergey",GM,Russia,2572,,1974,,,,220
418,200930,"Gurevich, Mikhail",GM,Belgium,2571,,1959,,,Turquia,139
419,13301004,"Grigoryan, Karen H",GM,Armenia,2571,,1995,,,Yerevan,121
420,900010,"Ljubojevic, Ljubomir",GM,Serbia,2571,,1950,i,,,23
421,14506688,"Brkic, Ante",GM,Croatia,2570,,1988,,,SK Kirchweyhe 1947,236
422,322156,"Krejci, Jan",GM,Czech Republic,2570,,1992,,,SC Heusenstamm,227
423,108928,"Sorokin, Maxim",GM,Argentina,2570,,0,i,,,40
424,3805662,"Martinez Alcantara, Jose Eduardo",GM,Peru,2570,,1999,,,,82
425,4100948,"Kharitonov, Andrei Y",GM,Russia,2570,,0,i,,,12
426,3801969,"Cruz, Cristhian",GM,Peru,2569,,1992,,,Escola Escacs B.,198
